Microorganisms;Vegetation;Invertebrates;Vertebrates;Biodiversity
Low;Low;Low;Low;Very low
Low;Low;Low;Low to medium;Very low
Low;Low;Low;Medium to high;Very low
Low;Low;Low;High;Very low
Low;Low;Low to medium;Low;Very low
Low;Low;Low to medium;Low to medium;Very low
Low;Low;Low to medium;Medium to high;Very low
Low;Low;Low to medium;High;Very low
Low;Low;Medium to high;Low;Very low
Low;Low;Medium to high;Low to medium;Very low
Low;Low;Medium to high;Medium to high;Very low
Low;Low;Medium to high;High;Very low
Low;Low;High;Low;Very low
Low;Low;High;Low to medium;Very low
Low;Low;High;Medium to high;Very low
Low;Low;High;High;Low
Low;Low to medium;Low;Low;Very low
Low;Low to medium;Low;Low to medium;Very low
Low;Low to medium;Low;Medium to high;Very low
Low;Low to medium;Low;High;Very low
Low;Low to medium;Low to medium;Low;Very low
Low;Low to medium;Low to medium;Low to medium;Very low
Low;Low to medium;Low to medium;Medium to high;Low
Low;Low to medium;Low to medium;High;Low
Low;Low to medium;Medium to high;Low;Very low
Low;Low to medium;Medium to high;Low to medium;Low
Low;Low to medium;Medium to high;Medium to high;Low
Low;Low to medium;Medium to high;High;Low
Low;Low to medium;High;Low;Very low
Low;Low to medium;High;Low to medium;Low
Low;Low to medium;High;Medium to high;Low
Low;Low to medium;High;High;Medium
Low;Medium to high;Low;Low;Very low
Low;Medium to high;Low;Low to medium;Very low
Low;Medium to high;Low;Medium to high;Very low
Low;Medium to high;Low;High;Very low
Low;Medium to high;Low to medium;Low;Very low
Low;Medium to high;Low to medium;Low to medium;Low
Low;Medium to high;Low to medium;Medium to high;Low
Low;Medium to high;Low to medium;High;Low
Low;Medium to high;Medium to high;Low;Very low
Low;Medium to high;Medium to high;Low to medium;Low
Low;Medium to high;Medium to high;Medium to high;Low
Low;Medium to high;Medium to high;High;Medium
Low;Medium to high;High;Low;Very low
Low;Medium to high;High;Low to medium;Low
Low;Medium to high;High;Medium to high;Medium
Low;Medium to high;High;High;Medium
Low;High;Low;Low;Very low
Low;High;Low;Low to medium;Very low
Low;High;Low;Medium to high;Very low
Low;High;Low;High;Low
Low;High;Low to medium;Low;Very low
Low;High;Low to medium;Low to medium;Low
Low;High;Low to medium;Medium to high;Low
Low;High;Low to medium;High;Medium
Low;High;Medium to high;Low;Very low
Low;High;Medium to high;Low to medium;Low
Low;High;Medium to high;Medium to high;Medium
Low;High;Medium to high;High;Medium
Low;High;High;Low;Low
Low;High;High;Low to medium;Medium
Low;High;High;Medium to high;Medium
Low;High;High;High;High
Low to medium;Low;Low;Low;Very low
Low to medium;Low;Low;Low to medium;Very low
Low to medium;Low;Low;Medium to high;Very low
Low to medium;Low;Low;High;Very low
Low to medium;Low;Low to medium;Low;Very low
Low to medium;Low;Low to medium;Low to medium;Very low
Low to medium;Low;Low to medium;Medium to high;Low
Low to medium;Low;Low to medium;High;Low
Low to medium;Low;Medium to high;Low;Very low
Low to medium;Low;Medium to high;Low to medium;Low
Low to medium;Low;Medium to high;Medium to high;Low
Low to medium;Low;Medium to high;High;Low
Low to medium;Low;High;Low;Very low
Low to medium;Low;High;Low to medium;Low
Low to medium;Low;High;Medium to high;Low
Low to medium;Low;High;High;Medium
Low to medium;Low to medium;Low;Low;Very low
Low to medium;Low to medium;Low;Low to medium;Very low
Low to medium;Low to medium;Low;Medium to high;Low
Low to medium;Low to medium;Low;High;Low
Low to medium;Low to medium;Low to medium;Low;Very low
Low to medium;Low to medium;Low to medium;Low to medium;Low
Low to medium;Low to medium;Low to medium;Medium to high;Medium
Low to medium;Low to medium;Low to medium;High;Medium
Low to medium;Low to medium;Medium to high;Low;Low
Low to medium;Low to medium;Medium to high;Low to medium;Medium
Low to medium;Low to medium;Medium to high;Medium to high;Medium
Low to medium;Low to medium;Medium to high;High;High
Low to medium;Low to medium;High;Low;Low
Low to medium;Low to medium;High;Low to medium;Medium
Low to medium;Low to medium;High;Medium to high;High
Low to medium;Low to medium;High;High;High
Low to medium;Medium to high;Low;Low;Very low
Low to medium;Medium to high;Low;Low to medium;Low
Low to medium;Medium to high;Low;Medium to high;Low
Low to medium;Medium to high;Low;High;Low
Low to medium;Medium to high;Low to medium;Low;Low
Low to medium;Medium to high;Low to medium;Low to medium;Medium
Low to medium;Medium to high;Low to medium;Medium to high;Medium
Low to medium;Medium to high;Low to medium;High;High
Low to medium;Medium to high;Medium to high;Low;Low
Low to medium;Medium to high;Medium to high;Low to medium;Medium
Low to medium;Medium to high;Medium to high;Medium to high;Medium
Low to medium;Medium to high;Medium to high;High;High
Low to medium;Medium to high;High;Low;Low
Low to medium;Medium to high;High;Low to medium;High
Low to medium;Medium to high;High;Medium to high;High
Low to medium;Medium to high;High;High;Very High
Low to medium;High;Low;Low;Very low
Low to medium;High;Low;Low to medium;Low
Low to medium;High;Low;Medium to high;Low
Low to medium;High;Low;High;Medium
Low to medium;High;Low to medium;Low;Low
Low to medium;High;Low to medium;Low to medium;Medium
Low to medium;High;Low to medium;Medium to high;High
Low to medium;High;Low to medium;High;High
Low to medium;High;Medium to high;Low;Low
Low to medium;High;Medium to high;Low to medium;High
Low to medium;High;Medium to high;Medium to high;High
Low to medium;High;Medium to high;High;Very High
Low to medium;High;High;Low;Medium
Low to medium;High;High;Low to medium;High
Low to medium;High;High;Medium to high;Very High
Low to medium;High;High;High;Very High
Medium to high;Low;Low;Low;Very low
Medium to high;Low;Low;Low to medium;Very low
Medium to high;Low;Low;Medium to high;Very low
Medium to high;Low;Low;High;Very low
Medium to high;Low;Low to medium;Low;Very low
Medium to high;Low;Low to medium;Low to medium;Low
Medium to high;Low;Low to medium;Medium to high;Low
Medium to high;Low;Low to medium;High;Low
Medium to high;Low;Medium to high;Low;Very low
Medium to high;Low;Medium to high;Low to medium;Low
Medium to high;Low;Medium to high;Medium to high;Low
Medium to high;Low;Medium to high;High;Medium
Medium to high;Low;High;Low;Very low
Medium to high;Low;High;Low to medium;Low
Medium to high;Low;High;Medium to high;Medium
Medium to high;Low;High;High;Medium
Medium to high;Low to medium;Low;Low;Very low
Medium to high;Low to medium;Low;Low to medium;Low
Medium to high;Low to medium;Low;Medium to high;Low
Medium to high;Low to medium;Low;High;Low
Medium to high;Low to medium;Low to medium;Low;Low
Medium to high;Low to medium;Low to medium;Low to medium;Medium
Medium to high;Low to medium;Low to medium;Medium to high;Medium
Medium to high;Low to medium;Low to medium;High;High
Medium to high;Low to medium;Medium to high;Low;Low
Medium to high;Low to medium;Medium to high;Low to medium;Medium
Medium to high;Low to medium;Medium to high;Medium to high;Medium
Medium to high;Low to medium;Medium to high;High;High
Medium to high;Low to medium;High;Low;Low
Medium to high;Low to medium;High;Low to medium;High
Medium to high;Low to medium;High;Medium to high;High
Medium to high;Low to medium;High;High;Very High
Medium to high;Medium to high;Low;Low;Very low
Medium to high;Medium to high;Low;Low to medium;Low
Medium to high;Medium to high;Low;Medium to high;Low
Medium to high;Medium to high;Low;High;Medium
Medium to high;Medium to high;Low to medium;Low;Low
Medium to high;Medium to high;Low to medium;Low to medium;Medium
Medium to high;Medium to high;Low to medium;Medium to high;Medium
Medium to high;Medium to high;Low to medium;High;High
Medium to high;Medium to high;Medium to high;Low;Low
Medium to high;Medium to high;Medium to high;Low to medium;Medium
Medium to high;Medium to high;Medium to high;Medium to high;High
Medium to high;Medium to high;Medium to high;High;Very High
Medium to high;Medium to high;High;Low;Medium
Medium to high;Medium to high;High;Low to medium;High
Medium to high;Medium to high;High;Medium to high;Very High
Medium to high;Medium to high;High;High;Very High
Medium to high;High;Low;Low;Very low
Medium to high;High;Low;Low to medium;Low
Medium to high;High;Low;Medium to high;Medium
Medium to high;High;Low;High;Medium
Medium to high;High;Low to medium;Low;Low
Medium to high;High;Low to medium;Low to medium;High
Medium to high;High;Low to medium;Medium to high;High
Medium to high;High;Low to medium;High;Very High
Medium to high;High;Medium to high;Low;Medium
Medium to high;High;Medium to high;Low to medium;High
Medium to high;High;Medium to high;Medium to high;Very High
Medium to high;High;Medium to high;High;Very High
Medium to high;High;High;Low;Medium
Medium to high;High;High;Low to medium;Very High
Medium to high;High;High;Medium to high;Very High
Medium to high;High;High;High;Very High
High;Low;Low;Low;Very low
High;Low;Low;Low to medium;Very low
High;Low;Low;Medium to high;Very low
High;Low;Low;High;Low
High;Low;Low to medium;Low;Very low
High;Low;Low to medium;Low to medium;Low
High;Low;Low to medium;Medium to high;Low
High;Low;Low to medium;High;Medium
High;Low;Medium to high;Low;Very low
High;Low;Medium to high;Low to medium;Low
High;Low;Medium to high;Medium to high;Medium
High;Low;Medium to high;High;Medium
High;Low;High;Low;Low
High;Low;High;Low to medium;Medium
High;Low;High;Medium to high;Medium
High;Low;High;High;High
High;Low to medium;Low;Low;Very low
High;Low to medium;Low;Low to medium;Low
High;Low to medium;Low;Medium to high;Low
High;Low to medium;Low;High;Medium
High;Low to medium;Low to medium;Low;Low
High;Low to medium;Low to medium;Low to medium;Medium
High;Low to medium;Low to medium;Medium to high;High
High;Low to medium;Low to medium;High;High
High;Low to medium;Medium to high;Low;Low
High;Low to medium;Medium to high;Low to medium;High
High;Low to medium;Medium to high;Medium to high;High
High;Low to medium;Medium to high;High;Very High
High;Low to medium;High;Low;Medium
High;Low to medium;High;Low to medium;High
High;Low to medium;High;Medium to high;Very High
High;Low to medium;High;High;Very High
High;Medium to high;Low;Low;Very low
High;Medium to high;Low;Low to medium;Low
High;Medium to high;Low;Medium to high;Medium
High;Medium to high;Low;High;Medium
High;Medium to high;Low to medium;Low;Low
High;Medium to high;Low to medium;Low to medium;High
High;Medium to high;Low to medium;Medium to high;High
High;Medium to high;Low to medium;High;Very High
High;Medium to high;Medium to high;Low;Medium
High;Medium to high;Medium to high;Low to medium;High
High;Medium to high;Medium to high;Medium to high;Very High
High;Medium to high;Medium to high;High;Very High
High;Medium to high;High;Low;Medium
High;Medium to high;High;Low to medium;Very High
High;Medium to high;High;Medium to high;Very High
High;Medium to high;High;High;Very High
High;High;Low;Low;Low
High;High;Low;Low to medium;Medium
High;High;Low;Medium to high;Medium
High;High;Low;High;High
High;High;Low to medium;Low;Medium
High;High;Low to medium;Low to medium;High
High;High;Low to medium;Medium to high;Very High
High;High;Low to medium;High;Very High
High;High;Medium to high;Low;Medium
High;High;Medium to high;Low to medium;Very High
High;High;Medium to high;Medium to high;Very High
High;High;Medium to high;High;Very High
High;High;High;Low;High
High;High;High;Low to medium;Very High
High;High;High;Medium to high;Very High
High;High;High;High;Very High
