Anthropogenic pressures Microorganisms;Trophic ressources Microorganisms;Microorganisms
High;Low;Low
High;Low to medium;Low
High;Medium to high;Low
High;High;Low to medium
Medium to high;Low;Low
Medium to high;Low to medium;Low to medium
Medium to high;Medium to high;Low to medium
Medium to high;High;Medium to high
Low to medium;Low;Low to medium
Low to medium;Low to medium;Medium to high
Low to medium;Medium to high;Medium to high
Low to medium;High;Medium to high
Low;Low;Low to medium
Low;Low to medium;Medium to high
Low;Medium to high;High
Low;High;High
