Semi natural land cover;Field size;Crop diversity;Landscape simplification
Low;Low;Low;Low
Low;Low;Medium;Low
Low;Low;High;Low to medium
Low;Medium;Low;Low
Low;Medium;Medium;Low to medium
Low;Medium;High;Medium to high
Low;High;Low;Low
Low;High;Medium;Low to medium
Low;High;High;Medium to high
Medium;Low;Low;Low
Medium;Low;Medium;Low to medium
Medium;Low;High;Medium to high
Medium;Medium;Low;Low to medium
Medium;Medium;Medium;Medium to high
Medium;Medium;High;High
Medium;High;Low;Low to medium
Medium;High;Medium;Medium to high
Medium;High;High;High
High;Low;Low;Low to medium
High;Low;Medium;Medium to high
High;Low;High;Medium to high
High;Medium;Low;Low to medium
High;Medium;Medium;Medium to high
High;Medium;High;High
High;High;Low;Medium to high
High;High;Medium;High
High;High;High;High
